category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
|Entertainment|Politics|Social Media|News|, News ,1750000.0,acquired,USA,NY,New York City,New York,1,2012-01-06,2012-06,2012-Q2,2012.0,2012-06-30,2012-06-30,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Advertising|, Advertising ,4912393.0,closed,ARG,,Buenos Aires,Buenos Aires,1,,,,,2007-01-16,2007-01-16,0,0,0,4912393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Marketplaces|Art|E-Commerce|, Marketplaces ,500000.0,acquired,,,,,1,2009-01-01,2009-01,2009-Q1,2009.0,2009-05-15,2009-05-15,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Curated Web|, Curated Web ,2535000.0,acquired,USA,CA,SF Bay Area,San Francisco,2,2010-01-07,2010-07,2010-Q3,2010.0,2010-01-01,2011-02-16,15000,2520000,0,0,0,0,0,0,0,0,0,0,0,2520000,0,0,0,0,0,0,0
|Analytics|, Analytics ,1250000.0,acquired,USA,CA,SF Bay Area,San Francisco,2,,2011-09,2011-Q3,2011.0,2011-11-02,2011-11-30,750000,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Curated Web|, Curated Web ,50000.0,closed,USA,OH,Cleveland,Cleveland,1,2009-01-04,2009-04,2009-Q2,2009.0,2009-04-01,2009-04-01,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|E-Commerce|, E-Commerce ,,acquired,USA,CA,Los Angeles,West Hollywood,1,2012-01-01,2012-01,2012-Q1,2012.0,2012-04-05,2012-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Software|, Software ,14000000.0,acquired,USA,MA,Boston,Bedford,1,1990-01-01,1990-01,1990-Q1,1990.0,2002-04-16,2002-04-16,0,14000000,0,0,0,0,0,0,0,0,0,0,0,14000000,0,0,0,0,0,0,0
|Cars|Curated Web|, Curated Web ,,closed,CHN,,Guangzhou,Guangzhou,1,2006-01-01,2006-01,2006-Q1,2006.0,2008-02-07,2008-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Lifestyle|Content|Video|News|, Lifestyle ,,closed,USA,WA,Seattle,Kirkland,1,2006-01-06,2006-06,2006-Q2,2006.0,2008-08-12,2008-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
