Sr.no,funding_total_usd,funding_rounds,funding_duration_days,avg_funding_per_round,market_sector,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,status
1,1750000,1,0,1750000,Media & Entertainment,1750000,0,0,0,0,0,0,0,0,0,acquired
2,4912393,1,0,4912393,Advertising & Marketing,0,0,0,4912393,0,0,0,0,0,0,closed
3,500000,1,0,500000,E-commerce & Retail,500000,0,0,0,0,0,0,0,0,0,acquired
4,2535000,2,411,1267500,Software & Cloud,15000,2520000,0,0,0,0,0,0,0,0,acquired
5,1250000,2,28,625000,AI & Data,750000,500000,0,0,0,0,0,0,0,0,acquired
6,50000,1,0,50000,Software & Cloud,50000,0,0,0,0,0,0,0,0,0,closed
7,4500000,1,0,4500000,E-commerce & Retail,0,0,0,0,0,0,0,0,0,0,acquired
8,14000000,1,0,14000000,Software & Cloud,0,14000000,0,0,0,0,0,0,0,0,acquired
9,4500000,1,0,4500000,Software & Cloud,0,0,0,0,0,0,0,0,0,0,closed
10,4500000,1,0,4500000,Consumer & Lifestyle,0,0,0,0,0,0,0,0,0,0,closed
11,50000,1,0,50000,E-commerce & Retail,50000,0,0,0,0,0,0,0,0,0,closed
12,3452941,3,422,1150980.333,Financial Services,0,3452941,0,0,0,0,0,0,0,0,closed
13,50000,1,0,50000,Software & Cloud,50000,0,0,0,0,0,0,0,0,0,closed
14,25000,1,0,25000,Software & Cloud,25000,0,0,0,0,0,0,0,0,0,closed
15,118000,1,0,118000,E-commerce & Retail,118000,0,0,0,0,0,0,0,0,0,closed
16,250000,2,60,125000,Software & Cloud,0,0,0,0,0,0,250000,0,0,0,acquired
17,4500000,1,0,4500000,Other,0,0,0,0,0,0,0,0,0,0,acquired
18,85000000,1,0,85000000,Software & Cloud,0,0,0,0,0,0,0,0,85000000,0,acquired
19,4500000,1,0,4500000,Software & Cloud,0,0,0,0,0,0,0,0,0,0,acquired
20,4500000,1,0,4500000,Software & Cloud,0,0,0,0,0,0,0,0,0,0,closed
21,4500000,1,0,4500000,Other,0,0,0,0,0,0,0,0,0,0,acquired
22,500000,2,343,250000,Healthcare & Biotech,250000,0,0,0,0,0,250000,0,0,0,closed
23,503000,2,638,251500,Media & Entertainment,0,503000,0,0,0,0,0,0,0,0,closed
24,13708150,3,924,4569383.333,Manufacturing & Industrial,0,13708150,0,0,0,0,0,0,0,0,closed
